City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Ugoofaaru,MV,2021-10-22 06:46:57,5.6667,73.0,81.23,79,78,9.35
265,Christchurch,NZ,2021-10-22 06:44:59,-43.5333,172.6333,54.0,66,53,7.0
266,Guerrero Negro,MX,2021-10-22 06:46:19,27.9769,-114.0611,66.72,81,0,10.02
267,Bandarbeyla,SO,2021-10-22 06:46:58,9.4942,50.8122,83.21,57,6,5.12
268,Kermanshah,IR,2021-10-22 06:46:58,34.3142,47.065,65.3,24,0,11.5
269,Puerto Colombia,CO,2021-10-22 06:46:59,10.9878,-74.9547,75.29,83,12,7.74
270,Gouyave,GD,2021-10-22 06:46:59,12.1646,-61.7296,79.57,89,40,18.41
271,Chinhoyi,ZW,2021-10-22 06:47:00,-17.3667,30.2,79.09,35,63,9.66
272,Longyearbyen,SJ,2021-10-22 06:47:01,78.2186,15.6401,19.24,93,75,9.22
273,Phonhong,LA,2021-10-22 06:47:01,18.5007,102.4166,80.42,92,100,0.11
274,Victoria,HK,2021-10-22 06:45:02,22.2855,114.1577,70.25,78,100,1.99
275,Salalah,OM,2021-10-22 06:47:02,17.0151,54.0924,82.49,57,0,4.61
276,Leoben,AT,2021-10-22 06:47:03,47.3461,15.1257,45.27,86,86,1.21
277,Ostrovnoy,RU,2021-10-22 06:47:04,68.0531,39.5131,36.16,71,100,21.56
278,Matay,EG,2021-10-22 06:47:04,28.419,30.7792,71.67,60,0,13.82
279,Pangai,TO,2021-10-22 06:47:05,-19.8,-174.35,75.31,64,40,16.11
280,Bollnas,SE,2021-10-22 06:47:05,61.3482,16.3946,38.39,74,34,12.39
281,Idar,DE,2021-10-22 06:47:06,49.7167,7.3,39.69,89,1,8.39
282,Bilma,NE,2021-10-22 06:47:06,18.6853,12.9164,82.63,17,35,14.45
283,Slanic,RO,2021-10-22 06:47:07,45.25,25.9333,58.44,85,100,3.76
284,Namibe,AO,2021-10-22 06:47:07,-15.1961,12.1522,68.63,83,75,9.22
285,Bomet,KE,2021-10-22 06:47:08,-0.7813,35.3416,73.2,47,99,3.85
286,Iqaluit,CA,2021-10-22 06:47:08,63.7506,-68.5145,28.13,92,90,5.99
287,Vanavara,RU,2021-10-22 06:47:09,60.34,102.2797,45.5,57,61,8.14
288,Cordoba,AR,2021-10-22 06:46:39,-31.4135,-64.1811,69.76,43,0,5.99
289,Bereda,ES,2021-10-22 06:47:09,43.2686,-7.5406,49.14,100,100,1.77
290,Nisia Floresta,BR,2021-10-22 06:47:10,-6.0911,-35.2086,79.61,89,100,5.3
291,Bambous Virieux,MU,2021-10-22 06:47:10,-20.3428,57.7575,80.85,69,75,16.11
292,Thompson,CA,2021-10-22 06:42:18,55.7435,-97.8558,30.36,93,90,6.91
293,Chokurdakh,RU,2021-10-22 06:47:11,70.6333,147.9167,-13.76,99,58,3.8
294,Cabo San Lucas,MX,2021-10-22 06:47:12,22.8909,-109.9124,77.5,82,0,4.0
