City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Hirara,JP,24.8,125.2833,80.87,54,40,11.5,scattered clouds
313,Bonga,ET,7.2833,36.2333,57.22,98,56,2.17,broken clouds
314,Brae,GB,60.3964,-1.353,51.71,83,100,9.71,overcast clouds
315,Mackay,AU,-21.15,149.2,91.69,61,1,17.27,clear sky
316,Pacific Grove,US,36.6177,-121.9166,66.97,89,1,1.99,clear sky
317,Ancud,CL,-41.8697,-73.8203,47.73,93,6,3.42,clear sky
318,Alta Floresta,BR,-9.8756,-56.0861,71.19,98,100,1.41,overcast clouds
319,Kodinsk,RU,58.6881,99.1844,29.19,46,33,11.27,scattered clouds
320,South Saint Paul,US,44.8927,-93.0349,54.75,69,90,3.44,light rain
321,Susanville,US,40.4163,-120.653,47.08,86,8,1.92,clear sky
322,Darab,IR,28.7519,54.5444,67.39,8,100,3.36,overcast clouds
323,Krasnoselkup,RU,65.7,82.4667,3.11,98,93,6.13,overcast clouds
324,Tiarei,PF,-17.5333,-149.3333,80.62,75,29,10.22,scattered clouds
325,Lata,PT,40.1629,-8.3327,49.06,63,0,3.06,clear sky
326,Laibin,CN,23.7,109.2667,68.81,68,97,7.45,overcast clouds
327,Ulladulla,AU,-35.35,150.4667,86.77,40,86,5.3,overcast clouds
328,Rivadavia,AR,-33.1905,-68.4608,73.87,26,34,8.28,scattered clouds
329,Ca Mau,VN,9.1769,105.15,88.21,62,96,6.08,overcast clouds
330,Bria,CF,6.5423,21.9863,69.44,96,100,2.26,overcast clouds
331,Muros,ES,42.7762,-9.0603,59.85,83,32,9.66,scattered clouds
332,Ha Noi,VN,21.0245,105.8412,73.4,87,100,7.18,overcast clouds
333,Plettenberg Bay,ZA,-34.0527,23.3716,70.25,73,100,7.78,overcast clouds
334,Galesong,ID,-5.3166,119.3661,89.62,64,55,5.41,broken clouds
335,Skagen,DK,57.7209,10.5839,56.08,88,100,24.07,overcast clouds
336,Tevriz,RU,57.509,72.4042,31.77,70,100,8.72,overcast clouds
337,Mehamn,NO,71.0357,27.8492,29.68,77,19,17.52,few clouds
338,Nampula,MZ,-15.1165,39.2666,71.55,83,90,9.22,overcast clouds
339,Galle,LK,6.0367,80.217,82.26,76,76,7.72,broken clouds
340,Bardiyah,LY,31.7561,25.0865,70.34,88,64,11.99,broken clouds
341,Kargil,IN,34.5667,76.1,32.68,42,2,3.74,clear sky
342,College,US,64.8569,-147.8028,26.58,89,90,4.61,light snow
343,Taywarah,AF,33.35,64.4167,43.21,22,2,3.71,clear sky
344,Kemijarvi,FI,66.7131,27.4306,26.65,86,100,9.86,overcast clouds
345,Calvinia,ZA,-31.4707,19.776,61.92,73,100,11.9,light rain
346,Toamasina,MG,-18.1667,49.3833,69.8,88,20,5.75,few clouds
347,Faya,SA,18.3851,42.4509,55.92,56,57,2.82,broken clouds
348,Dicabisagan,PH,17.0818,122.4157,82.08,70,77,11.3,broken clouds
349,Lasa,IT,46.6166,10.7002,40.08,35,1,2.19,clear sky
350,Erdenet,MN,49.0333,104.0833,42.76,36,10,3.85,clear sky
351,Klaksvik,FO,62.2266,-6.589,47.32,83,84,14.79,broken clouds
352,Allapalli,IN,19.4167,80.0667,78.91,57,47,5.93,scattered clouds
353,Pennadam,IN,11.4,79.2333,83.61,66,88,10.94,overcast clouds
354,Lyubar,UA,49.9204,27.7592,41.0,92,49,8.08,scattered clouds
355,Wabash,US,40.7978,-85.8205,50.72,89,100,11.03,overcast clouds
356,Limon,CR,10.0,-83.0333,79.68,80,100,2.42,overcast clouds
357,San Quintin,MX,30.4833,-115.95,66.6,61,0,5.53,clear sky
358,Miquelon,PM,47.0975,-56.3814,43.34,72,100,30.89,overcast clouds
359,Elmvale,CA,44.5834,-79.8664,53.04,94,0,7.18,clear sky
360,Maun,BW,-19.9833,23.4167,67.96,100,0,8.05,clear sky
361,Port Hardy,CA,50.6996,-127.4199,48.2,93,75,0.0,light rain
362,Milagres,BR,-7.3133,-38.9456,83.17,61,49,8.39,scattered clouds
363,Kamenka,RU,51.3223,42.7678,35.02,75,96,7.56,overcast clouds
364,Pantai Remis,MY,4.4557,100.6288,88.16,64,44,1.72,scattered clouds
365,Praia,CV,14.9215,-23.5087,77.54,83,40,17.27,scattered clouds
366,Bakchar,RU,57.0186,82.0711,30.92,68,99,8.97,overcast clouds
367,Tazovskiy,RU,67.4667,78.7,3.6,97,71,7.09,broken clouds
368,Stuttgart,DE,48.7823,9.177,46.62,94,90,1.14,fog
369,Villa Maria,AR,-32.4075,-63.2402,74.82,53,100,11.01,overcast clouds
370,Sevierville,US,35.8681,-83.5618,53.91,90,1,0.0,clear sky
371,Hoi An,VN,15.8794,108.335,80.56,82,62,4.76,moderate rain
372,Asbestos,CA,45.7668,-71.9324,41.29,80,88,8.93,overcast clouds
373,Sakakah,SA,29.9697,40.2064,62.17,36,1,1.66,clear sky
374,Ust-Kut,RU,56.7938,105.7672,31.12,39,60,10.54,broken clouds
375,Sal Rei,CV,16.1833,-22.9167,77.56,78,100,15.19,overcast clouds
376,Kerema,PG,-7.9631,145.7785,84.87,73,100,7.49,overcast clouds
377,Pevek,RU,69.7008,170.3133,7.88,92,100,6.6,overcast clouds
378,Nizhniy Chir,RU,48.3597,43.0865,35.8,70,1,5.79,clear sky
379,Northam,GB,51.0333,-4.2167,59.09,88,100,23.29,overcast clouds
380,Luena,AO,-11.7833,19.9167,62.2,88,68,3.91,broken clouds
381,Ampanihy,MG,-24.7,44.75,66.42,64,95,17.45,overcast clouds
382,Nacala,MZ,-14.5428,40.6728,79.32,60,100,12.08,overcast clouds
383,Wanning,CN,18.8003,110.3967,77.36,91,100,11.12,heavy intensity rain
384,Fecamp,FR,49.7579,0.3746,51.51,76,29,13.27,scattered clouds
385,Izumo,JP,35.3667,132.7667,67.89,56,75,11.5,broken clouds
386,Tromso,NO,69.6496,18.957,37.42,56,40,3.0,light rain
387,Dasoguz,TM,41.8363,59.9666,39.31,93,0,6.91,clear sky
388,Navolato,MX,24.7672,-107.6944,75.63,76,0,6.6,clear sky
389,Sokoni,TZ,-6.4333,39.55,75.06,77,81,4.52,light rain
390,Nanchang,CN,28.6833,115.8833,73.85,50,54,4.5,broken clouds
391,Birao,CF,10.2849,22.7882,73.89,63,68,0.92,broken clouds
392,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,76.05,79,30,3.8,scattered clouds
393,Pelym,RU,61.0108,61.9978,31.33,98,100,6.69,light snow
394,Constitucion,CL,-35.3333,-72.4167,54.66,76,4,10.22,clear sky
395,Beaverlodge,CA,55.2166,-119.4361,38.55,50,84,23.69,broken clouds
396,Naze,JP,28.3667,129.4833,74.32,54,3,13.78,clear sky
397,Khash,IR,28.2211,61.2158,64.04,35,4,1.14,clear sky
398,San Patricio,US,28.017,-97.5169,78.66,38,0,7.09,clear sky
399,Rabo De Peixe,PT,37.8,-25.5833,67.51,77,20,20.71,few clouds
